Home Team,Away Team
Aston Villa,Leeds United
West Ham United,Manchester City
Fulham,Crystal Palace
Manchester United,Chelsea
Liverpool,Sheffield United
Southampton,Everton
Wolverhampton,Newcastle
Arsenal,Leicester City
Brighton and Hove Albion,West Bromwich Albion
Burnley,Tottenham Hotspur
Wolverhampton,Crystal Palace
Sheffield United,Manchester City
Burnley,Chelsea
Liverpool,West Ham United
Aston Villa,Southampton
Newcastle,Everton
Manchester United,Arsenal
Tottenham Hotspur,Brighton and Hove Albion
Fulham,West Bromwich Albion
Leeds United,Leicester City
Southampton,Newcastle
Crystal Palace,Leeds United
West Ham United,Fulham
Brighton and Hove Albion,Burnley
Manchester City,Liverpool
West Bromwich Albion,Tottenham Hotspur
Everton,Manchester United
Chelsea,Sheffield United
Leicester City,Wolverhampton
Arsenal,Aston Villa
Sheffield United,West Ham United
Wolverhampton,Southampton
Manchester United,West Bromwich Albion
Fulham,Everton
Aston Villa,Brighton and Hove Albion
Burnley,Crystal Palace
Leeds United,Arsenal
Liverpool,Leicester City
Newcastle,Chelsea
Tottenham Hotspur,Manchester City
West Ham United,Aston Villa
Everton,Leeds United
Manchester City,Burnley
Southampton,Manchester United
Chelsea,Tottenham Hotspur
Brighton and Hove Albion,Liverpool
West Bromwich Albion,Sheffield United
Crystal Palace,Newcastle
Leicester City,Fulham
Arsenal,Wolverhampton
West Bromwich Albion,Crystal Palace
Manchester City,Fulham
West Ham United,Manchester United
Burnley,Everton
Aston Villa,Newcastle
Brighton and Hove Albion,Southampton
Chelsea,Leeds United
Liverpool,Wolverhampton
Tottenham Hotspur,Arsenal
Sheffield United,Leicester City
Wolverhampton,Aston Villa
Southampton,Sheffield United
Fulham,Liverpool
Everton,Chelsea
Manchester United,Manchester City
Crystal Palace,Tottenham Hotspur
Newcastle,West Bromwich Albion
Leeds United,West Ham United
Leicester City,Brighton and Hove Albion
Arsenal,Burnley
Wolverhampton,Chelsea
Leeds United,Newcastle
Sheffield United,Manchester United
West Ham United,Crystal Palace
Arsenal,Southampton
Leicester City,Everton
Fulham,Brighton and Hove Albion
Aston Villa,Burnley
Liverpool,Tottenham Hotspur
Manchester City,West Bromwich Albion
Burnley,Wolverhampton
Brighton and Hove Albion,Sheffield United
Newcastle,Fulham
Everton,Arsenal
Tottenham Hotspur,Leicester City
West Bromwich Albion,Aston Villa
Crystal Palace,Liverpool
Chelsea,West Ham United
Southampton,Manchester City
Manchester United,Leeds United
Wolverhampton,Tottenham Hotspur
Aston Villa,Crystal Palace
Leeds United,Burnley
Arsenal,Chelsea
Liverpool,West Bromwich Albion
Fulham,Southampton
Manchester City,Newcastle
Sheffield United,Everton
Leicester City,Manchester United
West Ham United,Brighton and Hove Albion
Newcastle,Liverpool
Everton,Manchester City
Brighton and Hove Albion,Arsenal
West Bromwich Albion,Leeds United
Chelsea,Aston Villa
Tottenham Hotspur,Fulham
Burnley,Sheffield United
Crystal Palace,Leicester City
Manchester United,Wolverhampton
Southampton,West Ham United
Tottenham Hotspur,Leeds United
Everton,West Ham United
Burnley,Fulham
Crystal Palace,Sheffield United
Newcastle,Leicester City
Brighton and Hove Albion,Wolverhampton
Manchester United,Aston Villa
West Bromwich Albion,Arsenal
Southampton,Liverpool
Chelsea,Manchester City
Wolverhampton,Everton
Fulham,Manchester United
Leeds United,Southampton
Sheffield United,Newcastle
West Ham United,West Bromwich Albion
Leicester City,Chelsea
Arsenal,Crystal Palace
Aston Villa,Tottenham Hotspur
Liverpool,Burnley
Manchester City,Brighton and Hove Albion
Liverpool,Manchester United
West Ham United,Burnley
Fulham,Chelsea
Manchester City,Crystal Palace
Aston Villa,Everton
Sheffield United,Tottenham Hotspur
Leeds United,Brighton and Hove Albion
Leicester City,Southampton
Arsenal,Newcastle
Wolverhampton,West Bromwich Albion
Burnley,Aston Villa
Everton,Leicester City
Brighton and Hove Albion,Fulham
Manchester United,Sheffield United
West Bromwich Albion,Manchester City
Newcastle,Leeds United
Southampton,Arsenal
Chelsea,Wolverhampton
Tottenham Hotspur,Liverpool
Crystal Palace,West Ham United
West Ham United,Liverpool
Everton,Newcastle
Manchester City,Sheffield United
Crystal Palace,Wolverhampton
Chelsea,Burnley
Southampton,Aston Villa
Leicester City,Leeds United
Arsenal,Manchester United
Brighton and Hove Albion,Tottenham Hotspur
West Bromwich Albion,Fulham
Sheffield United,West Bromwich Albion
Aston Villa,West Ham United
Burnley,Manchester City
Wolverhampton,Arsenal
Leeds United,Everton
Fulham,Leicester City
Manchester United,Southampton
Newcastle,Crystal Palace
Tottenham Hotspur,Chelsea
Liverpool,Brighton and Hove Albion
Liverpool,Manchester City
Fulham,West Ham United
Aston Villa,Arsenal
Wolverhampton,Leicester City
Manchester United,Everton
Sheffield United,Chelsea
Burnley,Brighton and Hove Albion
Newcastle,Southampton
Leeds United,Crystal Palace
Tottenham Hotspur,West Bromwich Albion
Crystal Palace,Burnley
West Ham United,Sheffield United
Leicester City,Liverpool
West Bromwich Albion,Manchester United
Manchester City,Tottenham Hotspur
Arsenal,Leeds United
Everton,Fulham
Brighton and Hove Albion,Aston Villa
Chelsea,Newcastle
Southampton,Wolverhampton
Aston Villa,Leicester City
Fulham,Sheffield United
West Ham United,Tottenham Hotspur
Arsenal,Manchester City
Wolverhampton,Leeds United
Brighton and Hove Albion,Crystal Palace
Burnley,West Bromwich Albion
Manchester United,Newcastle
Liverpool,Everton
Southampton,Chelsea
Everton,Southampton
Tottenham Hotspur,Burnley
Sheffield United,Liverpool
Newcastle,Wolverhampton
Crystal Palace,Fulham
West Bromwich Albion,Brighton and Hove Albion
Chelsea,Manchester United
Manchester City,West Ham United
Leeds United,Aston Villa
Leicester City,Arsenal
Sheffield United,Southampton
Liverpool,Fulham
Tottenham Hotspur,Crystal Palace
Burnley,Arsenal
West Bromwich Albion,Newcastle
Manchester City,Manchester United
Brighton and Hove Albion,Leicester City
Chelsea,Everton
West Ham United,Leeds United
Aston Villa,Wolverhampton
Crystal Palace,West Bromwich Albion
Wolverhampton,Liverpool
Everton,Burnley
Southampton,Brighton and Hove Albion
Arsenal,Tottenham Hotspur
Newcastle,Aston Villa
Fulham,Manchester City
Manchester United,West Ham United
Leicester City,Sheffield United
Leeds United,Chelsea
Tottenham Hotspur,Southampton
Burnley,Leicester City
West Bromwich Albion,Everton
Liverpool,Chelsea
Brighton and Hove Albion,Newcastle
West Ham United,Arsenal
Fulham,Leeds United
Sheffield United,Aston Villa
Manchester City,Wolverhampton
Crystal Palace,Manchester United
Leicester City,Manchester City
Leeds United,Sheffield United
Arsenal,Liverpool
Wolverhampton,West Ham United
Newcastle,Tottenham Hotspur
Southampton,Burnley
Manchester United,Brighton and Hove Albion
Everton,Crystal Palace
Aston Villa,Fulham
Chelsea,West Bromwich Albion
Crystal Palace,Chelsea
Burnley,Newcastle
Brighton and Hove Albion,Everton
Liverpool,Aston Villa
Fulham,Wolverhampton
Sheffield United,Arsenal
Manchester City,Leeds United
West Bromwich Albion,Southampton
Tottenham Hotspur,Manchester United
West Ham United,Leicester City
Leicester City,West Bromwich Albion
Newcastle,West Ham United
Chelsea,Brighton and Hove Albion
Aston Villa,Manchester City
Southampton,Crystal Palace
Wolverhampton,Sheffield United
Arsenal,Fulham
Manchester United,Burnley
Everton,Tottenham Hotspur
Leeds United,Liverpool
West Ham United,Chelsea
Leeds United,Manchester United
Aston Villa,West Bromwich Albion
Arsenal,Everton
Sheffield United,Brighton and Hove Albion
Liverpool,Newcastle
Wolverhampton,Burnley
Manchester City,Southampton
Fulham,Tottenham Hotspur
Leicester City,Crystal Palace
Burnley,West Ham United
Manchester United,Liverpool
West Bromwich Albion,Wolverhampton
Tottenham Hotspur,Sheffield United
Southampton,Leicester City
Crystal Palace,Manchester City
Chelsea,Fulham
Newcastle,Arsenal
Everton,Aston Villa
Brighton and Hove Albion,Leeds United
Arsenal,West Bromwich Albion
Liverpool,Southampton
Aston Villa,Manchester United
Leeds United,Tottenham Hotspur
Fulham,Burnley
Sheffield United,Crystal Palace
West Ham United,Everton
Manchester City,Chelsea
Wolverhampton,Brighton and Hove Albion
Leicester City,Newcastle
Everton,Sheffield United
Burnley,Leeds United
Brighton and Hove Albion,West Ham United
West Bromwich Albion,Liverpool
Manchester United,Leicester City
Chelsea,Arsenal
Newcastle,Manchester City
Southampton,Fulham
Tottenham Hotspur,Wolverhampton
Crystal Palace,Aston Villa
Chelsea,Leicester City
Burnley,Liverpool
Newcastle,Sheffield United
Southampton,Leeds United
Everton,Wolverhampton
Brighton and Hove Albion,Manchester City
Tottenham Hotspur,Aston Villa
West Bromwich Albion,West Ham United
Crystal Palace,Arsenal
Manchester United,Fulham
Arsenal,Brighton and Hove Albion
Liverpool,Crystal Palace
Wolverhampton,Manchester United
West Ham United,Southampton
Leicester City,Tottenham Hotspur
Leeds United,West Bromwich Albion
Manchester City,Everton
Sheffield United,Burnley
Aston Villa,Chelsea
Fulham,Newcastle
