Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
Everton,3,2,1,0,11,6,5,7,2.33,6.4,3.7,2.7,0.89
Liverpool,3,3,0,0,9,5,4,9,3,8.8,3.2,5.6,1.85
Aston Villa,3,2,0,1,8,5,3,6,2,6.1,6,0.2,0.05
Leicester City,3,1,0,2,4,6,-2,3,1,2.3,4.2,-1.8,-0.61
Tottenham,3,0,2,1,4,5,-1,2,0.67,4.4,4.5,-0.1,-0.02
Leeds United,3,1,1,1,5,5,0,4,1.33,4.9,3.8,1.1,0.37
Southampton,3,2,0,1,6,5,1,6,2,3.5,3,0.5,0.15
Crystal Palace,3,1,1,1,3,3,0,4,1.33,1.8,4,-2.1,-0.71
Wolves,3,1,1,1,3,4,-1,4,1.33,2.9,2.9,0,0.01
Chelsea,3,1,1,1,7,5,2,4,1.33,5.6,4.9,0.7,0.23
Arsenal,3,2,0,1,4,3,1,6,2,2.7,3.3,-0.6,-0.2
West Ham,3,1,1,1,5,3,2,4,1.33,3.2,3.1,0.2,0.05
Manchester City,2,1,0,1,3,5,-2,3,1.5,2.4,3.5,-1.1,-0.54
Newcastle Utd,3,1,0,2,4,8,-4,3,1,3.1,4.9,-1.8,-0.61
Manchester Utd,3,0,1,2,2,9,-7,1,0.33,2.8,5.6,-2.8,-0.93
Brighton,3,0,1,2,4,7,-3,1,0.33,4.5,2.8,1.7,0.57
West Brom,3,0,2,1,3,6,-3,2,0.67,2.4,5.5,-3.1,-1.03
Burnley,2,0,0,2,0,2,-2,0,0,1.1,1.3,-0.2,-0.09
Sheffield Utd,3,0,1,2,1,4,-3,1,0.33,3.7,4.6,-0.9,-0.3
Fulham,3,0,0,3,1,8,-7,0,0,2,6,-4,-1.33
